,Movie,Year,Score,Adjusted Score,Director,Cast,Consensus,sentiments,Box Office Collection,Imdb_genre,IMDB Rating,metascore,time_minute,Votes
189,Premonition,2007,8,14.107,Mennan Yapo,"Sandra Bullock, Julian McMahon, Nia Long, Kate Nelligan","Linda Hanson (Sandra Bullock) has an idyllic life, until one day she receives word that her husband (Julian McMahon) has...",negative,84146832.0,Drama,5.9,29.0,96.0,78186.0
190,An American Werewolf in Paris,1997,7,7.117,Anthony Waller,"Tom Everett Scott, Julie Delpy, Vince Vieluf, Phil Buckman",A group of carousing American tourists is taking in the cultural landmarks of Paris when a chance encounter results in...,positive,26570463.0,Comedy,5.1,31.0,98.0,24906.0
191,The Forsaken,2001,7,8.567,J.S. Cardone,"Kerr Smith, Brendan Fehr, Izabella Miko, A.J. Buckley","Driving cross-country to deliver a vintage Mercedes, Sean (Kerr Smith) does the one thing he wasn't suppose to do --...",positive,6755271.0,Horror,5.2,35.0,90.0,8733.0
192,I Still Know What You Did Last Summer,1998,7,9.465,Danny Cannon,"Jennifer Love Hewitt, Freddie Prinze Jr., Brandy, Mekhi Phifer","A year after killing vengeful hit-and-run victim Ben Wills (Muse Watson), who gutted her friends with an iron hook, college...",negative,40020622.0,Horror,4.7,21.0,100.0,73334.0
193,Prom Night,2008,7,9.155,Nelson McCormick,"Brittany Snow, Scott Porter, Jessica Stroup, Dana Davis","When a deranged high-school teacher kills the family of the girl, Donna, that he loves, in a disturbed attempt to...",positive,57193655.0,Horror,5.3,45.0,92.0,17844.0
194,Dream House,2011,6,8.005,Jim Sheridan,"Daniel Craig, Naomi Watts, Rachel Weisz, Marton Csokas","Publisher Will Atenton (Daniel Craig) quits a lucrative job in New York to relocate his wife, Libby (Rachel Weisz), and...",negative,41642166.0,Drama,6.0,35.0,92.0,66475.0
195,Ouija,2014,6,8.267,Stiles White,"Olivia Cooke, Daren Kagasoff, Douglas Smith, Bianca Santos","Following the sudden death of her best friend, Debbie, Laine finds an antique Ouija board in Debbie's room and tries...",positive,103300632.0,Thriller,4.5,38.0,89.0,52269.0
196,The Devil Inside,2012,5,8.451,William Brent Bell,"Fernanda Andrade, Simon Quarterman, Evan Helmuth, Suzan Crowley","Twenty years after Maria Rossi (Suzan Crowley) murdered three people, her daughter, Isabella (Fernanda Andrade), seeks the truth about that...",negative,101759490.0,Horror,4.2,18.0,83.0,35918.0
197,Mary,2019,4,3.787,Michael Goi,"Gary Oldman, Emily Mortimer, Manuel Garcia-Rulfo, Stefanie Scott",A family sailing in isolated waters discovers the ship they bought holds terrifying secrets....,positive,943159.0,Horror,4.4,31.0,84.0,4266.0
198,6 Souls,2010,4,3.299,Måns Mårlind,"Julianne Moore, Jonathan Rhys-Meyers, Jeffrey DeMunn, Frances Conroy","Dr. Cara Harding (Julianne Moore) is a dedicated psychiatrist skeptical about the nature of certain afflictions, especially Multiple Personality Disorder....",positive,708753.0,Horror,6.0,28.0,112.0,34468.0
199,Soul Survivors,2001,4,5.154,Steve Carpenter,"Melissa Sagemiller, Casey Affleck, Wes Bentley, Eliza Dushku",Sometimes living or dying comes down to a matter of choice. It took Annabel (Eliza Dushku) and Matt (Wes Bentley)...,negative,4288246.0,Horror,3.8,20.0,84.0,8994.0
200,Darkness,2002,4,4.531,Jaume Balagueró,"Anna Paquin, Lena Olin, Iain Glen, Giancarlo Giannini","Paul (Stephan Enquist) and his older sister, Regina (Anna Paquin), unpack and settle into their new country home with their...",positive,34409206.0,Horror,5.4,15.0,88.0,19607.0
201,The Fog,2005,4,6.377,Rupert Wainwright,"Tom Welling, Maggie Grace, Selma Blair, DeRay Davis","The prosperous town of Antonio Bay, Ore., is born in blood, as the town's founders get their money by murdering...",negative,37048526.0,Horror,6.8,55.0,89.0,72435.0
202,Flatliners,2017,4,8.263,Niels Arden Oplev,"Ellen Page, Diego Luna, Nina Dobrev, James Norton",Five medical students embark on a daring and dangerous experiment to gain insight into the mystery of what lies beyond...,positive,61308153.0,Drama,5.2,27.0,109.0,46509.0
203,Godsend,2004,4,9.395,Nick Hamm,"Greg Kinnear, Rebecca Romijn-Stamos, Robert De Niro, Cameron Bright","After Paul Duncan (Greg Kinnear) and his wife, Jessie (Rebecca Romijn-Stamos), lose their young son, Adam (Cameron Bright), in an...",negative,16873925.0,Horror,4.8,24.0,102.0,25646.0
204,The Darkness,2016,3,3.39,Greg McLean,"Kevin Bacon, Radha Mitchell, Lucy Fry, David Mazouz","Peter Taylor (Kevin Bacon), his wife Bronny and their two children return to Los Angeles after a fun-filled vacation to...",positive,10904495.0,Horror,4.4,27.0,92.0,15943.0
205,House of the Dead,2003,3,4.563,Uwe Boll,"Jonathan Cherry, Tyron Leitso, Clint Howard, Ona Grauer",Simon (Tyron Leitso) and Greg (Will Sanderson) meet a group of friends and set out to attend a rave on...,positive,13860078.0,Horror,2.1,15.0,90.0,37213.0
206,The Apparition,2012,3,5.032,Todd Lincoln,"Ashley Greene, Sebastian Stan, Tom Felton, Julianna Guill","Plagued by frightening occurrences in their home, Kelly (Ashley Greene) and Ben (Sebastian Stan) learn that a university's parapsychology experiment...",negative,10637281.0,Horror,4.1,18.0,82.0,19871.0
207,Bless the Child,2000,3,5.761,Chuck Russell,"Kim Basinger, Jimmy Smits, Holliston Coleman, Rufus Sewell",When Maggie's sister Jenna saddles her with an autistic newborn named Cody she touches Maggie's heart and becomes the daughter...,positive,40435694.0,Horror,5.0,17.0,107.0,14630.0
208,The Haunting of Molly Hartley,2008,2,2.931,Mickey Liddell,"Haley Bennett, Chace Crawford, Jake Weber, AnnaLynne McCord","After surviving a brutal attack by her insane mother, teenage Molly (Haley Bennett) is eager to get a fresh start...",positive,15318257.0,Horror,3.9,28.0,85.0,9767.0
209,Alone in the Dark,2005,1,5.934,Uwe Boll,"Christian Slater, Tara Reid, Stephen Dorff, Frank C. Turner","When the investigations of supernatural detective Edward Carnby (Christian Slater) lead him to uncover a long-lost tribe called the Abskani,...",negative,10588079.0,Horror,2.4,9.0,96.0,45471.0
210,The Disappointments Room,2016,0,0.775,D.J. Caruso,"Kate Beckinsale, Mel Raido, Duncan Joiner, Lucas Till","Dana (Kate Beckinsale), her husband David and their 5-year-old son Lucas start a new life after moving from the hustle...",positive,3503761.0,Horror,3.9,31.0,91.0,9846.0
211,Cabin Fever,2016,0,0.98,Travis Z,"Nadine Crocker, Matthew Daddario, Samuel Davis, Gage Golightly","Fresh out of college, five friends (Nadine Crocker, Matthew Daddario, Samuel Davis) face the horrors of a flesh-eating virus while...",positive,30351664.0,Horror,5.6,56.0,93.0,77511.0
212,One Missed Call,2008,0,2.815,Éric Valette,"Shannyn Sossamon, Ed Burns, Ana Claudia Talancón, Ray Wise","When Beth Raymond (Shannyn Sossamon) witnesses the deaths of two friends, she knows there is more at work than just...",positive,44513466.0,Horror,4.0,24.0,87.0,32216.0
213,Running Scared,1986,59,59.008,Peter Hyams,"Gregory Hines, Billy Crystal, Jimmy Smits, Steven Bauer","Ray and Danny (Gregory Hines, Billy Crystal) are two Chicago police detectives hot on the trail of drug kingpin Julio...",positive,38500726.0,Comedy,6.5,49.0,107.0,12914.0
214,Equilibrium,2002,41,42.593,Kurt Wimmer,"Christian Bale, Emily Watson, Taye Diggs, Angus Macfadyen","In a futuristic world, a regime has eliminated war by suppressing emotions: books, art and music are strictly forbidden and...",positive,5345869.0,Drama,7.4,33.0,107.0,325299.0
215,Hero,2002,94,102.661,Zhang Yimou,"Jet Li, Tony Leung Chiu Wai, Maggie Cheung Man-yuk, Donnie Yen","In this visually arresting martial arts epic set in ancient China, an unnamed fighter (Jet Li) is being honored for...",positive,69671205.0,Drama,7.9,85.0,120.0,180102.0
216,Road House,1989,37,40.012,Rowdy Herrington,"Patrick Swayze, Kelly Lynch, Sam Elliott, Ben Gazzara","The Double Deuce is the meanest, loudest and rowdiest bar south of the Mason-Dixon Line, and Dalton (Patrick Swayze) has...",positive,30050028.0,Thriller,6.6,36.0,114.0,71428.0
217,Unstoppable,2010,87,93.759,Tony Scott,"Denzel Washington, Chris Pine, Rosario Dawson, Kevin Dunn","When a massive, unmanned locomotive roars out of control, the threat is more ominous than just a derailment. The train...",positive,165720921.0,Thriller,6.8,69.0,98.0,195359.0
218,Shaft,1971,86,88.949,Gordon Parks,"Richard Roundtree, Moses Gunn, Christopher St. John, Charles Cioffi","John Shaft (Richard Roundtree) is the ultimate in suave black detectives. He first finds himself up against Bumpy (Moses Gunn),...",positive,107190108.0,Comedy,6.4,40.0,111.0,52203.0
219,Die Hard 2,1990,69,72.279,Renny Harlin,"Bruce Willis, Bonnie Bedelia, William Atherton, Reginald VelJohnson","A year after his heroics in L.A, detective John McClane (Bruce Willis) is mixed up in another terrorist plot, this...",negative,239813888.0,Thriller,7.1,67.0,124.0,357081.0
220,El Mariachi,1992,91,96.211,Robert Rodriguez,"Carlos Gallardo, Consuelo Gómez, Reinol Martinez, Peter Marquardt",El Mariachi (Carlos Gallardo) is a traveling guitar player with the modest desire to play music for a living. Looking...,positive,2041928.0,Thriller,6.8,73.0,81.0,66748.0
221,Top Gun,1986,57,62.842,Tony Scott,"Tom Cruise, Kelly McGillis, Anthony Edwards, Val Kilmer",The Top Gun Naval Fighter Weapons School is where the best of the best train to refine their elite flying...,positive,357469522.0,Drama,6.9,50.0,110.0,330744.0
222,Con Air,1997,55,57.658,Simon West,"Nicolas Cage, John Cusack, John Malkovich, Steve Buscemi","Just-paroled army ranger Cameron Poe (Nicolas Cage) is headed back to his wife (Monica Potter), but must fly home aboard...",positive,224117573.0,Thriller,6.9,52.0,115.0,294600.0
223,The Expendables 2,2012,67,72.409,Simon West,"Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren","Mercenary leader Barney Ross (Sylvester Stallone), Lee Christmas (Jason Statham) and the rest of the Expendables team reunite when Mr....",positive,311979256.0,Thriller,6.6,51.0,103.0,304240.0
224,Rush Hour,1998,60,63.438,Brett Ratner,"Jackie Chan, Chris Tucker, Tom Wilkinson, Elizabeth Peña","When a Chinese diplomat's daughter is kidnapped in Los Angeles, he calls in Hong Kong Detective Inspector Lee (Jackie Chan)...",negative,245300000.0,Comedy,7.0,60.0,98.0,261427.0
225,Captain America: Civil War,2016,90,118.224,Anthony Russo,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan",Political pressure mounts to install a system of accountability when the actions of the Avengers lead to collateral damage. The...,negative,1151918521.0,Sci-Fi,7.8,75.0,147.0,754008.0
226,Air Force One,1997,78,80.164,Wolfgang Petersen,"Harrison Ford, Gary Oldman, Glenn Close, Wendy Crewson","After making a speech in Moscow vowing to never negotiate with terrorists, President James Marshall (Harrison Ford) boards Air Force...",negative,315268353.0,Drama,6.5,61.0,124.0,193112.0
227,Bloodsport,1988,46,46.393,Newt Arnold,"Jean-Claude Van Damme, Donald Gibb, Leah Ayres, Norman Burton","U.S. soldier Frank Dux (Jean-Claude Van Damme) has come to Hong Kong to be accepted into the Kumite, a highly...",positive,11806119.0,Drama,6.8,29.0,92.0,83888.0
228,Blade,1998,57,62.5,Stephen Norrington,"Wesley Snipes, Stephen Dorff, Kris Kristofferson, N'Bushe Wright","A half-mortal, half-immortal is out to avenge his mother's death and rid the world of vampires. The modern-day technologically advanced...",negative,131237688.0,Horror,7.1,47.0,120.0,267299.0
229,Bad Boys,1995,42,45.945,Michael Bay,"Martin Lawrence, Will Smith, Tea Leoni, Tcheky Karyo",Miami-Dade detectives Mike Lowrey (Will Smith) and Marcus Burnett (Martin Lawrence) blow a fuse when $100 million worth of heroin...,negative,141247413.0,Comedy,6.8,41.0,119.0,259833.0
230,The Running Man,1987,66,67.91,Paul Michael Glaser,"Arnold Schwarzenegger, Maria Conchita Alonso, Richard Dawson, Yaphet Kotto","In the year 2019, America is a totalitarian state where the favorite television program is ""The Running Man"" -- a...",positive,38122000.0,Sci-Fi,6.6,45.0,101.0,151028.0
231,Code of Silence,1985,70,70.817,Andrew Davis,"Chuck Norris, Henry Silva, Bert Remsen, Mike Genovese","In Chicago, honor-driven Sgt. Eddie Cusack (Chuck Norris) and his team stake out a drug exchange involving notorious drug czar...",negative,20345361.0,Thriller,6.0,64.0,101.0,8001.0
232,Shoot 'Em Up,2007,67,72.957,Michael Davis,"Clive Owen, Paul Giamatti, Monica Bellucci, Daniel Pilon","After saving a newborn infant from assassins, carrot-crunching gunman Mr. Smith (Clive Owen) teams up with a prostitute named DQ...",negative,26796824.0,Comedy,6.6,49.0,86.0,149687.0
233,Crank,2006,61,64.692,Mark Neveldine,"Jason Statham, Amy Smart, Jose Pablo Cantillo, Efren Ramirez","Chev Chelios (Jason Statham), a hit man wanting to go straight, lets his latest target slip away, then he awakes...",positive,43924923.0,Thriller,6.9,57.0,88.0,246873.0
234,Machete,2010,72,79.675,Robert Rodriguez,"Danny Trejo, Robert De Niro, Jessica Alba, Steven Seagal","After nearly being killed during a violent fight with a powerful drug lord, a former Mexican Federale known as Machete...",positive,46370970.0,Thriller,6.6,60.0,105.0,196499.0
235,Drive,2011,93,103.379,Nicolas Winding Refn,"Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks","Driver is a skilled Hollywood stuntman who moonlights as a getaway driver for criminals. Though he projects an icy exterior,...",positive,81357930.0,Drama,7.8,78.0,100.0,618214.0
236,Under Siege,1992,79,80.827,Andrew Davis,"Steven Seagal, Tommy Lee Jones, Gary Busey, Erika Eleniak","A heroic loner takes on a group of nuclear terrorists in this seagoing tale. Posing as a rock band, the...",positive,156563139.0,Thriller,6.5,58.0,103.0,85662.0
237,Independence Day,1996,67,70.529,Roland Emmerich,"Will Smith, Bill Pullman, Jeff Goldblum, Mary McDonnell","In the epic adventure film ""Independence Day,"" strange phenomena surface around the globe. The skies ignite. Terror races through the...",positive,817400878.0,Adventure,7.0,59.0,145.0,563005.0
238,Bullitt,1968,98,101.562,Peter Yates,"Steve McQueen, Robert Vaughn, Jacqueline Bisset, Don Gordon",Senator Walter Chalmers (Robert Vaughn) is aiming to take down mob boss Pete Ross (Vic Tayback) with the help of...,positive,42300945.0,Thriller,7.4,81.0,114.0,67986.0
239,Ronin,1998,69,71.255,John Frankenheimer,"Robert De Niro, Jean Reno, Natascha McElhone, Stellan Skarsgard","Deirdre (Natascha McElhone) puts together a team of experts that she tasks with stealing a valuable briefcase, the contents of...",positive,70692101.0,Thriller,7.2,67.0,122.0,181993.0
240,They Live,1988,85,88.306,John Carpenter,"Roddy Piper, Keith David, Meg Foster, George ""Buck"" Flower","Nada (Roddy Piper), a wanderer without meaning in his life, discovers a pair of sunglasses capable of showing the world...",negative,13000774.0,Horror,7.2,55.0,94.0,126296.0
241,Cliffhanger,1993,67,71.229,Renny Harlin,"Sylvester Stallone, John Lithgow, Michael Rooker, Janine Turner",Outdoor thriller in which a former mountain rescuer is pitted against a group of criminals who have lost their $100...,positive,255000000.0,Adventure,6.5,60.0,113.0,128308.0
242,The Warriors,1979,87,90.637,Walter Hill,"Michael Beck, James Remar, Dorsey Wright, Brian Tyler",A turf battle between New York City street gangs that rages from Coney Island to the Bronx. The Warriors are...,positive,22490943.0,Thriller,7.6,65.0,93.0,101233.0
243,Starship Troopers,1997,66,69.799,Paul Verhoeven,"Casper Van Dien, Dina Meyer, Denise Richards, Jake Busey","In the distant future, the Earth is at war with a race of giant alien insects. Little is known about...",positive,121100000.0,Sci-Fi,7.3,51.0,129.0,289366.0
244,Point Break,1991,69,72.735,Kathryn Bigelow,"Patrick Swayze, Keanu Reeves, Gary Busey, Lori Petty","After a string of bizarre bank robberies in Southern California, with the crooks donning masks of various former presidents, a...",negative,126704591.0,Thriller,7.2,58.0,122.0,177599.0
245,The Long Kiss Goodnight,1996,68,68.48,Renny Harlin,"Geena Davis, Samuel L. Jackson, Patrick Malahide, Craig Bierko",Schoolteacher and single mother Samantha Caine (Geena Davis) lives an average suburban life -- until she begins having strange memories...,positive,33447612.0,Drama,6.8,44.0,121.0,79093.0
246,The Guest,2014,92,95.545,Adam Wingard,"Dan Stevens, Maika Monroe, Leland Orser, Sheila Kelley",A string of mysterious deaths leads a teenager to become suspicious of a soldier (Dan Stevens) who showed up on...,negative,2107051.0,Thriller,6.7,76.0,100.0,99145.0
247,300,2006,61,70.688,Zack Snyder,"Gerard Butler, Lena Headey, David Wenham, Dominic West","In 480 B.C. a state of war exists between Persia, led by King Xerxes (Rodrigo Santoro), and Greece. At the...",negative,454161935.0,Drama,7.6,52.0,117.0,802949.0
248,True Lies,1994,69,71.906,James Cameron,"Arnold Schwarzenegger, Jamie Lee Curtis, Tom Arnold, Bill Paxton","Secretly a spy but thought by his family to be a dull salesman, Harry Tasker (Arnold Schwarzenegger) is tracking down...",positive,365300000.0,Comedy,7.3,63.0,141.0,253697.0
249,Demolition Man,1993,62,61.802,Marco Brambilla,"Sylvester Stallone, Wesley Snipes, Sandra Bullock, Nigel Hawthorne","With innocent victims caught in the crossfire in Los Angeles' intensifying war on crime, both cop John Spartan (Sylvester Stallone)...",positive,159055768.0,Sci-Fi,6.7,34.0,115.0,172680.0
250,Hardcore Henry,2015,51,60.174,Ilya Naishuller,"Sharlto Copley, Danila Kozlovsky, Haley Bennett, Dasha Charusha",A man wakes up in a Moscow laboratory to learn that he's been brought back from the dead as a...,positive,17187434.0,Sci-Fi,6.7,51.0,96.0,94053.0
251,Kingsman: The Secret Service,2014,75,85.097,Matthew Vaughn,"Colin Firth, Michael Caine, Taron Egerton, Samuel L. Jackson","Gary ""Eggsy"" Unwin (Taron Egerton), whose late father secretly worked for a spy organization, lives in a South London housing...",positive,404561724.0,Comedy,7.7,60.0,129.0,652323.0
252,The Fifth Element,1997,70,73.729,Luc Besson,"Bruce Willis, Gary Oldman, Ian Holm, Milla Jovovich","In the 23rd century, a New York City cabbie, Korben Dallas (Bruce Willis), finds the fate of the world in...",positive,263893838.0,Sci-Fi,7.6,52.0,126.0,463853.0
253,Atomic Blonde,2017,79,106.387,David Leitch,"Charlize Theron, James McAvoy, Eddie Marsan, John Goodman","Sensual and savage, Lorraine Broughton is the most elite spy in MI6, an agent who's willing to use all of...",positive,98345423.0,Thriller,6.7,63.0,115.0,189851.0
254,Rumble in the Bronx,1995,80,80.316,Stanley Tong,"Jackie Chan, Anita Mui, Bill Tung, Françoise Yip","Hong Kong policeman Keung (Jackie Chan) arrives in New York for the wedding of his uncle Bill (Bill Tung), a...",positive,36238752.0,Comedy,6.7,61.0,87.0,41961.0
255,Collateral,2004,86,95.903,Michael Mann,"Tom Cruise, Jamie Foxx, Jada Pinkett Smith, Mark Ruffalo",A cab driver realizes his current fare is a hit man that has been having him drive around from mark...,positive,217602967.0,Drama,7.5,71.0,120.0,390124.0
256,Iron Man,2008,94,105.234,Jon Favreau,"Robert Downey Jr., Terrence Howard, Gwyneth Paltrow, Jeff Bridges","A billionaire industrialist and genius inventor, Tony Stark (Robert Downey Jr.), is conducting weapons tests overseas, but terrorists kidnap him...",negative,585171547.0,Sci-Fi,7.9,79.0,126.0,1027013.0
257,Logan,2017,94,126.287,James Mangold,"Hugh Jackman, Patrick Stewart, Dafne Keen, Richard E. Grant","In the near future, a weary Logan (Hugh Jackman) cares for an ailing Professor X (Patrick Stewart) at a remote...",negative,614202315.0,Drama,8.1,77.0,137.0,729509.0
258,Goldfinger,1964,99,103.828,Guy Hamilton,"Sean Connery, Gert Frobe, Honor Blackman, Shirley Eaton","Special agent 007 (Sean Connery) comes face to face with one of the most notorious villains of all time, and...",positive,124900000.0,Thriller,7.7,87.0,110.0,187176.0
259,Wonder Woman,2017,93,129.061,Patty Jenkins,"Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright","Before she was Wonder Woman (Gal Gadot), she was Diana, princess of the Amazons, trained to be an unconquerable warrior....",positive,818058221.0,Sci-Fi,7.4,76.0,141.0,637712.0
260,Captain America: The Winter Soldier,2014,90,102.765,Anthony Russo,"Chris Evans, Scarlett Johansson, Samuel L. Jackson, Sebastian Stan","After the cataclysmic events in New York with his fellow Avengers, Steve Rogers, aka Captain America (Chris Evans), lives in...",positive,714401889.0,Sci-Fi,7.8,70.0,136.0,816491.0
261,Oldboy,2003,81,87.284,Park Chan-wook,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jung, Ji Dae-han","Dae-Su is an obnoxious drunk bailed from the police station yet again by a friend. However, he's abducted from the...",negative,6226386.0,Drama,8.4,77.0,101.0,561949.0
262,The French Connection,1971,97,105.251,William Friedkin,"Gene Hackman, Fernando Rey, Roy Scheider, Tony Lo Bianco","New York Detective ""Popeye"" Doyle (Gene Hackman) and his partner (Roy Scheider) chase a French heroin smuggler....",positive,41159423.0,Drama,7.7,94.0,104.0,120723.0
263,Furious 7,2015,82,92.738,James Wan,"Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez","After defeating international terrorist Owen Shaw, Dominic Toretto (Vin Diesel), Brian O'Conner (Paul Walker) and the rest of the crew...",positive,1516881526.0,Thriller,7.1,67.0,137.0,383825.0
264,Dirty Harry,1971,88,91.759,Don Siegel,"Clint Eastwood, Harry Guardino, Reni Santoni, John Larch",Cop Harry Callahan (Clint Eastwood) attempts to track down a psychopathic rooftop killer before a kidnapped girl dies. When he...,negative,28153434.0,Thriller,7.7,87.0,102.0,153775.0
265,Edge of Tomorrow,2014,91,104.772,Doug Liman,"Tom Cruise, Emily Blunt, Brendan Gleeson, Bill Paxton","When Earth falls under attack from invincible aliens, no military unit in the world is able to beat them. Maj....",positive,367028980.0,Sci-Fi,7.9,71.0,113.0,656178.0
266,The Fugitive,1993,96,102.607,Andrew Davis,"Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore","Wrongfully accused of murdering his wife, Richard Kimble (Harrison Ford) escapes from the law in an attempt to find her...",negative,353715317.0,Drama,7.8,87.0,130.0,288717.0
267,Black Panther,2018,96,129.316,Ryan Coogler,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira","After the death of his father, T'Challa returns home to the African nation of Wakanda to take his rightful place...",positive,1336494321.0,Sci-Fi,7.3,88.0,134.0,721672.0
268,Inception,2010,87,101.215,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy",Dom Cobb (Leonardo DiCaprio) is a thief with the rare ability to enter people's dreams and steal their secrets from...,positive,728582465.0,Sci-Fi,8.8,74.0,148.0,2269649.0
269,Braveheart,1995,76,81.564,Mel Gibson,"Mel Gibson, Sophie Marceau, Patrick McGoohan, Catherine McCormack",Tells the story of the legendary thirteenth century Scottish hero named William Wallace (Mel Gibson). Wallace rallies the Scottish against...,positive,209045244.0,Drama,8.4,68.0,178.0,1016911.0
270,Minority Report,2002,90,97.988,Steven Spielberg,"Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow","Based on a story by famed science fiction writer Philip K. Dick, ""Minority Report"" is an action-detective thriller set in...",positive,358824714.0,Sci-Fi,7.7,80.0,145.0,540079.0
271,Avengers: Endgame,2019,94,128.391,Anthony Russo,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","Adrift in space with no food or water, Tony Stark sends a message to Pepper Potts as his oxygen supply...",negative,2797800564.0,Drama,8.4,78.0,181.0,1051097.0
272,Dredd,2012,79,86.265,Pete Travis,"Karl Urban, Olivia Thirlby, Lena Headey, Wood Harris","Mega City One is a vast, violent metropolis where felons rule the streets. The only law lies with cops called...",positive,41467606.0,Sci-Fi,7.1,60.0,95.0,269960.0
273,The Bourne Identity,2002,84,89.619,Doug Liman,"Matt Damon, Franka Potente, Chris Cooper, Clive Owen","The story of a man (Matt Damon), salvaged, near death, from the ocean by an Italian fishing boat. When he...",negative,214357371.0,Thriller,7.9,68.0,119.0,538376.0
274,Ip Man,2008,86,85.33,Wilson Yip,"Donnie Yen, Simon Yam, Siu-wong Fan, Ka Tung Lam","The life story of Yip Man, the first person to teach the Chinese martial art of Wing Chun....",positive,22114423.0,Drama,8.0,59.0,106.0,221414.0
275,Face/Off,1997,92,96.14,John Woo,"John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivola","Obsessed with bringing terrorist Castor Troy (Nicolas Cage) to justice, FBI agent Sean Archer (John Travolta) tracks down Troy, who...",positive,241200000.0,Sci-Fi,7.3,82.0,138.0,370301.0
276,To Live and Die in L.A.,1985,85,87.178,William Friedkin,"William L. Petersen, Willem Dafoe, John Pankow, Debra Feuer","When his longtime partner on the force is killed, reckless U.S. Secret Service agent Richard Chance (William L. Petersen) vows...",positive,17307019.0,Drama,7.3,81.0,116.0,33190.0
277,The Dark Knight,2008,94,108.295,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine","With the help of allies Lt. Jim Gordon (Gary Oldman) and DA Harvey Dent (Aaron Eckhart), Batman (Christian Bale) has...",positive,998615789.0,Drama,9.0,84.0,152.0,2556835.0
278,Fast Five,2011,77,85.281,Justin Lin,"Vin Diesel, Paul Walker, Jordana Brewster, Tyrese Gibson",Ever since ex-cop Brian O'Conner (Paul Walker) and Mia Torretto (Jordana Brewster) broke her brother Dom (Vin Diesel) out of...,positive,630163454.0,Thriller,7.3,66.0,130.0,375390.0
279,The Rock,1996,68,70.818,Michael Bay,"Sean Connery, Nicolas Cage, Ed Harris, Michael Biehn","FBI chemical warfare expert Stanley Goodspeed (Nicolas Cage) is sent on an urgent mission with a former British spy, John...",positive,336069511.0,Thriller,7.4,58.0,136.0,333073.0
280,RoboCop,1987,90,95.419,Paul Verhoeven,"Peter Weller, Nancy Allen, Ronny Cox, Daniel O'Herlihy","In a violent, near-apocalyptic Detroit, evil corporation Omni Consumer Products wins a contract from the city government to privatize the...",negative,242981799.0,Sci-Fi,7.6,67.0,102.0,252581.0
281,Casino Royale,2006,94,105.806,Martin Campbell,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench","After receiving a license to kill, British Secret Service agent James Bond (Daniel Craig) heads to Madagascar, where he uncovers...",positive,594420283.0,Comedy,5.0,48.0,131.0,29875.0
282,Baby Driver,2017,92,122.963,Edgar Wright,"Ansel Elgort, Kevin Spacey, Lily James, Jon Bernthal",Talented getaway driver Baby (Ansel Elgort) relies on the beat of his personal soundtrack to be the best in the...,positive,227250102.0,Drama,7.6,86.0,113.0,512320.0
283,Enter the Dragon,1973,95,98.841,Robert Clouse,"Bruce Lee, John Saxon, Jim Kelly, Ahna Capri",Bruce Lee plays a martial-arts expert determined to help capture the narcotics dealer whose gang was responsible for the death...,positive,21485066.0,Drama,7.6,83.0,102.0,103285.0
284,Commando,1985,69,70.179,Mark L. Lester,"Arnold Schwarzenegger, Rae Dawn Chong, Dan Hedaya, Vernon Wells","Retired Special Forces soldier John Matrix (Arnold Schwarzenegger) lives with daughter Jenny (Alyssa Milano) in isolation, but his privacy is...",positive,35078864.0,Thriller,6.7,51.0,90.0,158053.0
285,First Blood,1982,87,87.117,Ted Kotcheff,"Sylvester Stallone, Richard Crenna, Brian Dennehy, David Caruso",Vietnam veteran and drifter John J. Rambo (Sylvester Stallone) wanders into a small Washington town in search of an old...,positive,125212904.0,Thriller,7.7,61.0,93.0,246052.0
286,The Terminator,1984,100,104.615,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield","Disguised as a human, a cyborg assassin known as a Terminator (Arnold Schwarzenegger) travels from 2029 to 1984 to kill...",positive,78019031.0,Sci-Fi,8.1,84.0,107.0,842030.0
287,Gladiator,2000,78,84.793,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed","Commodus (Joaquin Phoenix) takes power and strips rank from Maximus (Russell Crowe), one of the favored generals of his predecessor...",positive,456435588.0,Drama,8.5,67.0,155.0,1453863.0
